"Category","Product type","SKU","Product description","Product price","Product currency","Source country","Destination country","Shipping method","Shipping price","Plus one shipping price","Shipping currency","Minimum shipping (days)","Maximum shipping (days)","Tracked shipping"
"Stickers","Kisscut stickers","GLOBAL-STI-14X14-G","Extra Large Gloss vinyl Kisscut sticker, 14x14""/35.6x35.6cm","    8.00","GBP","GB","FM","Standard","   15.10","    0.00","GBP",5,7,"Tracked"
"Stickers","Kisscut stickers","GLOBAL-STI-14X14-M","Extra Large Matt vinyl Kisscut sticker, 14x14""/35.6x35.6cm","    8.00","GBP","GB","FM","Standard","   15.10","    0.00","GBP",5,7,"Tracked"
"Stickers","Kisscut stickers","GLOBAL-STI-3X4-M","Small Matt vinyl Kisscut sticker, 3x4""/7.6x10.2cm","    0.80","GBP","GB","FM","Standard","   14.00","    0.00","GBP",5,7,"Tracked"
"Stickers","Kisscut stickers","GLOBAL-STI-5_5X5_5-G","Medium Gloss vinyl Kisscut sticker, 5.5x5.5""/14x14cm","    3.00","GBP","GB","FM","Standard","   14.00","    0.00","GBP",5,7,"Tracked"
"Stickers","Kisscut stickers","GLOBAL-STI-3X4-G","Small Gloss vinyl Kisscut sticker, 3x4""/7.6x10.2cm","    0.80","GBP","GB","FM","Standard","   14.00","    0.00","GBP",5,7,"Tracked"
"Stickers","Kisscut stickers","GLOBAL-STI-5_5X5_5-M","Medium Matt vinyl Kisscut sticker, 5.5x5.5""/14x14cm","    3.00","GBP","GB","FM","Standard","   14.00","    0.00","GBP",5,7,"Tracked"
"Stickers","Kisscut stickers","GLOBAL-STI-8_5X8_5-G","Large Gloss vinyl Kisscut sticker, 8.5x8.5""/21.6x21.6cm","    5.50","GBP","GB","FM","Standard","   15.10","    0.00","GBP",5,7,"Tracked"
"Stickers","Kisscut stickers","GLOBAL-STI-8_5X8_5-M","Large Matt vinyl Kisscut sticker, 8.5x8.5""/21.6x21.6cm","    5.50","GBP","GB","FM","Standard","   15.10","    0.00","GBP",5,7,"Tracked"
